airport,hotel1,hotel2,hotel3,cab1,cab2,hospital1,hospital2
ATL,Mountain Peak Lodge,Garden Court Hotel,Harbor View Hotel,Premier Rides,Yellow Cab,St. Mary's Hospital,Sunrise Hospital
DCA,Ocean View Hotel,"Sapphire Hotel
",Desert Resort,City Cab,Comfort Ride,Sunrise Hospital,Lakeside Medical Center
SFO,Desert Resort,Sapphire Hotel,Lakeside Inn,Urban Cabs,Star Taxi,Riverfront Medical Center,Northeast Medical Center
LAX,Emerald Isle Hotel,Urban Retreat,Maple Leaf Lodge,Golden Cab,Quick Ride,Sunrise Hospital,Northeast Medical Center
MIA,Central Park Inn,Palm Grove Hotel,Metro Inn,Express Cab,Metro Taxi,Urban Health Clinic,Lakeside Medical Center
JFK,Coastal Breeze Hotel,Bay Area Hotel,Harbor View Hotel,TopRide Taxi,Reliable Rides,Southern Health Clinic,West End Hospital
SEA,Desert Resort,Pine Tree Inn,Sapphire Hotel,Eagle Taxi,Royal Cab,Central Clinic,Pine Valley Hospital
ORD,Ocean View Hotel,Skyline Suites,Metro Inn,Town Car Service,Liberty Taxi,Green Valley Hospital,City Health Clinic
PHX,Riverfront Hotel,Ocean View Hotel,Grand Plaza,Best Taxi,Eagle Taxi,Riverfront Medical Center,Downtown Medical Center
STL,Coastal Breeze Hotel,Sunset Inn,Urban Retreat,Green Cab,Rapid Cab,City Health Clinic,General Hospital
